date,location,gear,trt,oyster_num,weigh_boat,dirty_wt_boat,clean_wt_boat,fouling_wt,whole_wet_wt,fouling_ratio
10/17/22,FC,out,FCo,70,2.090,55.110,54.060,1.050,54.060,1.942
10/17/22,FC,out,FCo,71,2.130,25.330,24.330,1.000,24.330,4.110
10/17/22,FC,out,FCo,72,2.120,13.390,12.870,0.520,12.870,4.040
10/17/22,FC,out,FCo,73,2.140,25.970,24.480,1.490,24.480,6.087
10/17/22,FC,out,FCo,74,2.100,49.770,47.690,2.080,47.690,4.362
10/17/22,FC,out,FCo,75,2.130,27.090,25.810,1.280,25.810,4.959
10/17/22,FC,out,FCo,76,2.110,32.750,31.460,1.290,31.460,4.100
10/17/22,FC,out,FCo,77,2.120,32.740,31.070,1.670,31.070,5.375
10/17/22,FC,out,FCo,78,2.080,39.090,37.670,1.420,37.670,3.770
10/17/22,FC,out,FCo,79,2.140,38.050,37.060,0.990,37.060,2.671
10/17/22,FC,out,FCo,80,2.090,29.580,27.890,1.690,27.890,6.060
